query_id,question,generated_answer,qual_score
Q01,What major shift in consumer behavior did GCPL observe across its markets during FY 2020-21?,"shared services, and brought sharper cost formats. global brands from day one. This shift is not control across the board. just operational, it is cultural. It reflects our We have now established GCPL International belief that GCPL can be a consumer products Operations—a focused team that looks company with ideas and impact that travel at distribution, innovation, marketing and across the world. execution across 80+ export countries, with a highly lean centralised set-up. We are scaling up our global blockbuster portfolio 50 Your media and creative approach seems to have fundamentally shifted. What is driving this change? years, with the ambition to make it stronger and more purposeful. GCPL’s purpose to",2
Q02,When did GCPL conduct the extensive materiality exercise that formed the basis for its reporting methodology in subsequent years?,"In fiscal year 2019-20, we materiality matrix. Primary inputs were We approach materiality from a strategic The process of determining materiality Materiality analysis was performed and value creation perspective. Material at GCPL is compliant with the prescriptions through identification and prioritisation. A issues are identified by engaging in prescriptions of the IIRC and systematic step-wise process was conversations with our stakeholders and draws from the six capitals of followed. First, relevant insights were monitoring broad trends in the industry. integrated reporting. collected through with primary and Performance on material issues forms the secondary research, and then, necessary core content of this Annual and Integrated calculations were performed to obtain the Report. In fiscal year 2019-20, we material",1
Q03,What was the percentage of representation for local ethnic talent in GCPL's Africa senior leadership roles during FY 2021-22?,"40% in the fiscal building a representative, diverse talent year 2022-23. Top 5 workforce nationalities Indians Our operations Top nationalities 56% of total workforce 53 And how are you thinking about people, inclusion and leadership at GCPL today? We’ve always believed that our people This year, we have taken visible steps in that We believe in giving our people big are our biggest strength—and that direction. Our new manufacturing plant in opportunities early and backing t",1
Q04,How many financial years had GCPL maintained a status of sending zero waste to landfills by the end of FY 2022-23?,4,0
Q05,"How did GCPL's consolidated revenue and volume grow in FY 2022-23, and how did the Chairperson characterize the year's performance?","Consolidated reported revenue growth was 6%. Consolidated EBITDA for the year grew by 21%. Organic volume growth for the year was 7% for the consolidated business, with growth in India and Indonesia at 6% and 11%, respectively. What excites me, though, is the time we spent on a sharply thought through and well executed plan for strategic transformation that will fuel the next few decades of growth. endorsement Through integrated reporting, we aim to This report is for GCPL, including GCPL and assurance share an overview of our financial and non- manufacturing plants in India, Africa, financial performance that has helped Indonesia, Latin America, and USA. create short-term and long-term",2
Q06,What specific strategic change was implemented in the Indonesia business to simplify sales and distribution during FY 2022-23?,"Rural sub-stockist network grew by 5%. digital technologies and build closer Indonesia. In FY24, we successfully moved into retail and beauty stores. We continue to re-distribution model in Indonesia for to leverage strong channel partnerships and general trade while continuing direct joint business planning to drive distribution services to Key accounts and E-com. It has and new product listing, compelling in-store allowed us to increase our range to general presence, and competitive pricing. trade outlets and overall increase the Empowering frontline excellence: Training & skill development Equipping our team members to best In India, our in-house training academy, the serve the changing landscape is critical. ‘Godrej Sal",2
Q07,"What was the total R&D expenditure for GCPL in FY 2023-24, and what percentage of total sales turnover did it represent?",0.38 per cent 0.34 per cent,0
Q08,How many days was the number of days of accounts payables for GCPL in FY 2023-24?,"802.36 * Trade Payables includes invoices discounted by Vendors with banks. (Refer Note 49C) Disclosures pursuant to Micro, Small and Medium Enterprises Development Act, 2006 (“”MSMED Act””) are as follows: As at As at March 31, 2022 March 31, 2021 I The principal amount remaining unpaid to any supplier at the end of the accounting 23.24 24.86 year included in trade payables II Interest due thereon - - Trade payable dues to Micro and small enterprises - - (a) The amount of interest paid by the buyer under MSMED Act, 2006 along with the amounts of the payment made to the supplier beyond the appointed day during",1
Q09,What was the financial impact of the Greenfield facility investment at Chengalpattu and what is its strategic designation?,"Internationally, margins improved significantly—Africa, the US and the Middle East reached 15% EBITDA after simplification and the Tamil Nadu Government to establish greenfield projects adopted this approach, development - from civil design and a cutting-edge manufacturing facility with a firm commitment to maintaining machinery selection to the adoption of in Thiruporur taluk, Chengalpattu, near a gender-balanced workforce across accessible technologies, revised safety Chennai with an investment of INR 515 crore white-coll, blue-coll",1
Q10,What progress did GCPL make toward its Greener Products goal as part of its sustainability targets for FY 2024-25?,"Over the past year, we have invested to creating a brighter, greener approximately 652.47 lakhs across future",0
